ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [CON]STRESS_CONSTRAINT_FOS_2:LE:STRESS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]STRESS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.5656011e-2, 1.5656011e-2, 1.5656011e-2, 9.4434881e-1, 3.6765700e+7, 1.5656011e-2, 2.0985529, 1.0405524e+7, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.5656011e-2, 1.5656011e-2, 1.5656011e-2, 9.4435388e-1, 1.0405524e+7, 1.5656011e-2, 9.4435388e-1, 1.0405524e+7, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.4793057e-2, 1.4793057e-2, 1.4793057e-2, 9.3880200e-1, 8.2452865e+6, 1.4793057e-2, 9.3880200e-1, 8.2452865e+6, 0.0000000, 5.8335081e-2, 1.2853439e-2, 9.9000001e-1
2, 1.3846627e-2, 1.3846627e-2, 1.3846627e-2, 9.3906623e-1, 6.2448775e+6, 1.3846627e-2, 9.3906623e-1, 6.2448775e+6, 0.0000000, 6.8350911e-2, 1.2093301e-2, 9.9000001e-1
3, 1.2948000e-2, 1.2948000e-2, 1.2948000e-2, 9.3873852e-1, 4.5358515e+6, 1.2948000e-2, 9.3873852e-1, 4.5358515e+6, 0.0000000, 6.9402806e-2, 1.3643759e-2, 9.9000001e-1
4, 1.2091059e-2, 1.2091059e-2, 1.2091059e-2, 9.3838137e-1, 3.3773008e+6, 1.2091059e-2, 9.3838137e-1, 3.3773008e+6, 0.0000000, 7.0873909e-2, 1.5455772e-2, 9.9000001e-1
5, 1.1278351e-2, 1.1278351e-2, 1.1278351e-2, 9.3796307e-1, 2.9351033e+6, 1.1278351e-2, 9.3796307e-1, 2.9351033e+6, 0.0000000, 7.2059155e-2, 1.7613806e-2, 9.9000001e-1
6, 1.0496603e-2, 1.0496603e-2, 1.0496603e-2, 9.3736506e-1, 2.7755768e+6, 1.0496603e-2, 9.3736506e-1, 2.7755768e+6, 0.0000000, 7.4476235e-2, 2.0396778e-2, 9.9000001e-1
7, 9.7417776e-3, 9.7417776e-3, 9.7417776e-3, 9.3695581e-1, 3.0829770e+6, 9.7417776e-3, 9.3695581e-1, 3.0829770e+6, 0.0000000, 7.7483371e-2, 2.3369936e-2, 9.9000001e-1
8, 9.0401461e-3, 9.0401461e-3, 9.0401461e-3, 9.3644351e-1, 3.3408573e+6, 9.0401461e-3, 9.3644351e-1, 3.3408573e+6, 0.0000000, 7.7612840e-2, 2.6471725e-2, 9.9000001e-1
9, 8.4267817e-3, 8.4267817e-3, 8.4267817e-3, 9.3586016e-1, 3.4229223e+6, 8.4267817e-3, 9.3586016e-1, 3.4229223e+6, 0.0000000, 7.2787501e-2, 2.9906327e-2, 9.9000001e-1
