Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,70,RH,23.7,59266.8,Grvl,,IR3,Bnk,NoSeWa,CulDSac,Mod,OldTown,PosA,Norm,2FmCon,2.5Fin,5,10,1914,1991,Shed,ClyTile,CBlock,AsbShng,Stone,600.6,Gd,Gd,CBlock,TA,TA,Gd,NA,2333.6,NA,305.0,66.8,4680.0,GasW,Gd,N,FuseP,637.5,228.7,0.0,2807.9,2,1,2,0,1,1,Ex,5,Min1,1,,NA,1979.0,NA,3,467.5,Fa,NA,P,445.7,444.6,550.5,154.1,107.7,696.0,,,,9433.7,3,2006,CWD,Partial,377920
2,45,RH,93.0,44571.3,Pave,,Reg,HLS,AllPub,CulDSac,Sev,NridgHt,PosA,Artery,TwnhsE,2.5Fin,1,9,1923,2010,Flat,WdShake,WdShing,Wd Sdng,Stone,386.5,Ex,Gd,Stone,Fa,NA,NA,GLQ,2606.3,GLQ,1172.8,2123.2,2772.8,Wall,TA,Y,Mix,2743.4,629.9,0.0,2771.4,1,2,0,1,3,1,Ex,8,Mod,0,,2Types,1913.0,NA,0,894.3,Fa,Ex,N,322.4,170.2,181.3,30.9,478.2,386.0,,,,14149.8,5,2010,ConLw,Normal,316195
3,150,RH,233.1,68441.7,Grvl,,IR1,Low,AllPub,Corner,Sev,Mitchel,RRNn,PosN,Twnhs,1.5Fin,3,10,1972,1993,Hip,WdShake,Plywood,ImStucc,BrkCmn,887.8,Ex,Ex,PConc,TA,TA,Av,LwQ,1447.2,Unf,931.0,1919.2,3851.0,Grav,TA,Y,FuseA,2843.1,74.1,0.0,5617.0,1,2,1,2,6,3,Ex,7,Min2,3,Gd,Basment,1905.0,Unf,2,718.6,TA,Fa,P,729.8,118.3,64.3,325.8,99.6,341.0,,,,3876.6,11,2006,CWD,Partial,556810
4,180,C,310.6,52967.9,Pave,,IR1,Low,NoSeWa,FR3,Sev,Mitchel,RRNe,Norm,1Fam,1Story,1,1,1927,1995,Gable,WdShngl,Plywood,Stucco,Stone,1273.9,Ex,Gd,PConc,Gd,Gd,NA,Rec,4107.2,Unf,468.4,2272.0,3296.8,Floor,Ex,N,FuseA,1268.1,307.5,0.0,5372.2,3,2,3,0,0,1,Ex,12,Typ,3,,Detchd,1941.0,Unf,2,654.5,TA,TA,N,493.4,440.4,12.0,222.1,319.4,107.0,,,,6943.9,12,2010,WD,Partial,497337
5,90,C,50.0,47279.5,Pave,,IR2,Bnk,NoSeWa,Inside,Gtl,SawyerW,RRNn,Artery,TwnhsE,1Story,5,3,1947,1982,Gable,Roll,WdShing,Plywood,BrkFace,6.0,Ex,Gd,Stone,NA,Gd,No,Rec,415.1,LwQ,342.2,136.0,319.6,GasA,Fa,Y,FuseA,2386.7,1444.3,0.0,3510.8,3,0,1,1,5,0,Fa,13,Min2,0,Ex,2Types,1916.0,Unf,2,1404.2,Fa,,Y,268.3,197.2,101.9,209.4,457.3,676.0,,,,4810.0,4,2009,ConLD,Alloca,383351
6,75,RM,138.2,92194.7,Grvl,,IR2,Bnk,NoSeWa,FR2,Mod,NoRidge,PosN,PosN,2FmCon,SFoyer,5,2,1939,1995,Flat,WdShake,MetalSd,CBlock,Stone,1010.2,Gd,Fa,CBlock,Ex,TA,Av,LwQ,1257.2,NA,1295.3,364.8,4538.5,Floor,TA,N,FuseP,2336.2,757.3,0.0,1066.4,1,1,2,1,4,3,Fa,4,Sev,2,,CarPort,1994.0,,3,715.2,NA,Ex,P,380.6,157.3,103.2,73.8,430.3,632.0,,,,7225.9,8,2008,VWD,Partial,434452
7,150,FV,,195527.5,Pave,,IR2,Lvl,NoSeWa,Corner,Mod,SawyerW,PosN,Feedr,Duplex,1.5Fin,6,8,2008,1963,Gable,WdShngl,VinylSd,CemntBd,BrkCmn,954.4,Fa,TA,BrkTil,TA,Gd,No,Rec,4224.9,ALQ,1231.9,246.0,1053.1,Floor,Po,N,FuseP,3048.5,933.5,0.0,1706.6,1,1,1,0,5,0,Fa,11,Min1,1,Gd,CarPort,1941.0,,1,45.4,Ex,Gd,N,305.8,184.2,473.7,222.4,212.8,401.0,,,Othr,10795.2,11,2008,ConLD,Abnorml,331380
8,50,RL,80.6,109782.9,Grvl,,IR2,HLS,NoSeWa,CulDSac,Gtl,Edwards,Artery,Feedr,TwnhsE,1.5Fin,8,7,1977,1957,Gambrel,ClyTile,Wd Sdng,CBlock,BrkCmn,509.0,Ex,Fa,Stone,NA,Fa,Gd,BLQ,2467.1,Rec,338.7,1596.5,194.3,OthW,Fa,Y,Mix,1465.4,324.2,0.0,2264.8,3,0,2,0,7,3,Ex,4,Sev,1,TA,2Types,1909.0,NA,1,888.3,,Po,P,368.6,36.3,86.2,198.2,306.0,595.0,,,,7472.0,4,2007,ConLD,AdjLand,419228
9,70,RH,,41504.6,Grvl,,IR1,Bnk,AllPub,FR2,Sev,NAmes,RRNe,Norm,Duplex,1.5Fin,10,2,1996,1997,Shed,ClyTile,ImStucc,Stone,Stone,722.3,Fa,Po,Wood,Ex,Gd,Av,Unf,3980.6,LwQ,52.5,1415.6,2756.6,Floor,Fa,Y,SBrkr,2869.3,1408.6,0.0,4969.0,3,0,1,2,0,3,TA,2,Mod,0,,Detchd,1945.0,Fin,0,1032.3,TA,Fa,P,61.1,422.9,476.2,194.9,254.0,301.0,,,,12935.3,6,2009,COD,Alloca,697960
10,85,RM,235.1,17767.7,Pave,,IR2,Lvl,NoSeWa,Corner,Gtl,IDOTRR,RRAe,RRNn,Twnhs,1.5Unf,1,6,1963,1963,Gambrel,Metal,Wd Sdng,Other,None,395.1,Gd,Fa,BrkTil,TA,Po,No,BLQ,3202.9,NA,1185.9,839.4,5289.0,OthW,Ex,Y,SBrkr,1384.1,1551.9,0.0,1239.7,3,0,3,1,2,2,Gd,14,Sev,2,Ex,2Types,1983.0,NA,1,1255.2,TA,TA,P,95.9,391.2,47.9,111.0,166.4,106.0,,,,8575.5,9,2006,New,Abnorml,343584
